ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,AVGDV,LLDV,MXDV,MXDV_HEIGHT,DEPTH,BASE,TOP,MAX_SHEAR,MAX_SHEAR_HEIGHT
20140701033102,-87.63298,41.27453,KMDW,Z1,TVS,23,169,53,86,86,1,12,1,13,59,1
20140701033202,-101.90542,35.98380,KAMA,Q4,TVS,46,348,49,88,116,8,24,4,28,40,8
20140701033202,-101.74415,36.05030,KAMA,Q4,TVS,49,358,38,79,90,12,26,4,31,27,12
20140701033411,-87.55957,41.20211,KMDW,W0,TVS,28,164,49,62,86,8,7,1,8,49,8
20140701033411,-87.56606,41.27032,KMDW,W0,TVS,24,162,46,61,95,3,24,1,25,65,3
20140701033411,-87.57285,41.28619,KMDW,Z6,TVS,23,162,31,45,73,6,23,1,24,53,6
20140701033626,-101.86951,35.90461,KAMA,Q4,TVS,41,349,34,75,75,3,13,3,16,29,3
20140701033626,-101.87741,35.93736,KAMA,Q4,TVS,43,349,40,67,89,8,24,4,28,31,8
20140701033626,-101.80777,35.99649,KAMA,Q4,TVS,46,354,50,92,103,6,20,4,24,35,6
20140701033626,-101.67240,36.08366,KAMA,W4,TVS,51,2,31,84,84,7,22,7,29,26,7
20140701033702,-87.51099,41.19643,KMDW,??,TVS,29,160,56,88,88,1,7,1,8,49,1
20140701033702,-87.52266,41.28247,KMDW,Z6,TVS,24,157,58,98,98,1,13,1,14,66,1
20140701034010,-87.46058,41.19374,KMDW,O7,TVS,30,156,42,67,67,2,7,2,9,36,2
20140701034010,-87.47907,41.27933,KMDW,V6,TVS,25,153,50,114,114,1,21,1,23,72,1
20140701034051,-101.82608,35.91057,KAMA,H6,TVS,41,352,44,91,91,3,8,3,12,35,3
20140701034051,-101.77926,36.04879,KAMA,Q4,TVS,49,356,37,80,80,4,26,4,31,26,6
20140701034051,-101.52692,36.07112,KAMA,O3,TVS,51,10,57,80,80,5,8,5,12,25,5
20140701034051,-101.65411,36.08300,KAMA,W4,TVS,51,3,36,83,83,7,23,7,30,26,7
20140701034242,-94.28982,39.50323,KMCI,??,TVS,21,89,55,64,90,8,7,1,8,72,8
20140701034301,-87.42537,41.28297,KMDW,V6,TVS,26,148,87,109,130,8,6,1,8,81,8
20140701034530,-101.81910,35.96183,KAMA,X5,TVS,44,353,34,75,76,29,25,4,29,30,29
